File Path,Model,Prompt,Filename,Age,Gender,Race,Emotion,P_Skin_Hex,P_MST_Index,P_MST_Hex,P_PERLA_Index,P_PERLA_Hex,P_FST_Type,P_FST_DeltaE,P_N_Clusters
output\gemini_flash\an_individual_photorealistic\1.png,gemini_flash,an_individual_photorealistic,1.png,26,Woman,white,happy,#c9ab9f,5,#d7bd96,9,#E7C1B8,3,7.54,1
output\gemini_flash\an_individual_photorealistic\10.png,gemini_flash,an_individual_photorealistic,10.png,22,Man,latino hispanic,neutral,#d3967e,6,#a07e56,7,#BEA07E,4,5.36,1
output\gemini_flash\an_individual_photorealistic\100.png,gemini_flash,an_individual_photorealistic,100.png,22,Woman,white,happy,#e0b9a9,5,#d7bd96,9,#E7C1B8,2,4.27,2
output\gemini_flash\an_individual_photorealistic\101.png,gemini_flash,an_individual_photorealistic,101.png,27,Woman,white,happy,#8b736b,7,#825c43,5,#81654F,5,13.52,1
output\gemini_flash\an_individual_photorealistic\102.png,gemini_flash,an_individual_photorealistic,102.png,24,Woman,white,happy,#d8c2b8,2,#f3e7db,9,#E7C1B8,2,7.36,1
output\gemini_flash\an_individual_photorealistic\103.png,gemini_flash,an_individual_photorealistic,103.png,25,Woman,white,happy,#e1bbaa,5,#d7bd96,9,#E7C1B8,2,3.43,1
output\gemini_flash\an_individual_photorealistic\104.png,gemini_flash,an_individual_photorealistic,104.png,26,Woman,white,happy,#e0b9a9,5,#d7bd96,9,#E7C1B8,2,4.41,1
output\gemini_flash\an_individual_photorealistic\105.png,gemini_flash,an_individual_photorealistic,105.png,23,Woman,white,happy,#c59681,6,#a07e56,7,#BEA07E,4,5.89,1
output\gemini_flash\an_individual_photorealistic\106.png,gemini_flash,an_individual_photorealistic,106.png,22,Woman,white,happy,#f5d0b0,5,#d7bd96,8,#E5C8A6,1,3.97,2
output\gemini_flash\an_individual_photorealistic\107.png,gemini_flash,an_individual_photorealistic,107.png,23,Woman,white,happy,#c3927e,6,#a07e56,7,#BEA07E,4,5.1,1
output\gemini_flash\an_individual_photorealistic\108.png,gemini_flash,an_individual_photorealistic,108.png,26,Woman,white,happy,#90746d,7,#825c43,5,#81654F,5,13.06,1
output\gemini_flash\an_individual_photorealistic\109.png,gemini_flash,an_individual_photorealistic,109.png,26,Woman,white,happy,#b18b83,6,#a07e56,7,#BEA07E,4,9.0,1
output\gemini_flash\an_individual_photorealistic\11.png,gemini_flash,an_individual_photorealistic,11.png,28,Woman,white,happy,#a2817d,6,#a07e56,6,#9D7A54,4,11.87,1
output\gemini_flash\an_individual_photorealistic\110.png,gemini_flash,an_individual_photorealistic,110.png,26,Man,white,neutral,#b28b78,6,#a07e56,7,#BEA07E,4,6.15,2
output\gemini_flash\an_individual_photorealistic\111.png,gemini_flash,an_individual_photorealistic,111.png,25,Woman,white,happy,#c99e89,5,#d7bd96,7,#BEA07E,3,5.57,1
output\gemini_flash\an_individual_photorealistic\112.png,gemini_flash,an_individual_photorealistic,112.png,27,Woman,white,happy,#f2b78a,5,#d7bd96,8,#E5C8A6,3,5.2,2
output\gemini_flash\an_individual_photorealistic\113.png,gemini_flash,an_individual_photorealistic,113.png,30,Man,white,neutral,#9f918b,6,#a07e56,7,#BEA07E,4,14.35,2
output\gemini_flash\an_individual_photorealistic\114.png,gemini_flash,an_individual_photorealistic,114.png,29,Woman,white,happy,#efb576,5,#d7bd96,8,#E5C8A6,3,8.51,2
output\gemini_flash\an_individual_photorealistic\115.png,gemini_flash,an_individual_photorealistic,115.png,21,Woman,white,happy,#dbc2be,2,#f3e7db,9,#E7C1B8,2,9.07,1
output\gemini_flash\an_individual_photorealistic\116.png,gemini_flash,an_individual_photorealistic,116.png,24,Woman,white,happy,#caa99a,5,#d7bd96,9,#E7C1B8,3,6.36,1
output\gemini_flash\an_individual_photorealistic\117.png,gemini_flash,an_individual_photorealistic,117.png,27,Woman,white,happy,#7a5c55,7,#825c43,4,#6F503C,5,8.55,1
output\gemini_flash\an_individual_photorealistic\118.png,gemini_flash,an_individual_photorealistic,118.png,27,Woman,white,happy,#ac7a5e,6,#a07e56,6,#9D7A54,4,5.84,2
output\gemini_flash\an_individual_photorealistic\119.png,gemini_flash,an_individual_photorealistic,119.png,21,Woman,white,happy,#dbb3a2,5,#d7bd96,9,#E7C1B8,3,4.82,2
output\gemini_flash\an_individual_photorealistic\12.png,gemini_flash,an_individual_photorealistic,12.png,25,Woman,white,happy,#e5c0b2,5,#d7bd96,9,#E7C1B8,2,4.42,1
output\gemini_flash\an_individual_photorealistic\120.png,gemini_flash,an_individual_photorealistic,120.png,22,Man,white,happy,#ddb5a6,5,#d7bd96,9,#E7C1B8,2,5.33,2
output\gemini_flash\an_individual_photorealistic\121.png,gemini_flash,an_individual_photorealistic,121.png,24,Woman,white,happy,#dbbbb4,2,#f3e7db,9,#E7C1B8,2,7.32,1
output\gemini_flash\an_individual_photorealistic\122.png,gemini_flash,an_individual_photorealistic,122.png,23,Woman,white,happy,#ac8b83,6,#a07e56,7,#BEA07E,4,10.06,1
output\gemini_flash\an_individual_photorealistic\123.png,gemini_flash,an_individual_photorealistic,123.png,25,Woman,white,happy,#efb97d,5,#d7bd96,8,#E5C8A6,3,8.98,2
output\gemini_flash\an_individual_photorealistic\124.png,gemini_flash,an_individual_photorealistic,124.png,25,Woman,white,happy,#e0c2ba,2,#f3e7db,9,#E7C1B8,2,7.05,1
output\gemini_flash\an_individual_photorealistic\125.png,gemini_flash,an_individual_photorealistic,125.png,27,Woman,white,happy,#f1bd87,5,#d7bd96,8,#E5C8A6,3,7.95,2
output\gemini_flash\an_individual_photorealistic\126.png,gemini_flash,an_individual_photorealistic,126.png,26,Woman,white,happy,#8a6454,7,#825c43,5,#81654F,5,6.15,2
output\gemini_flash\an_individual_photorealistic\127.png,gemini_flash,an_individual_photorealistic,127.png,24,Woman,white,happy,#be917d,6,#a07e56,7,#BEA07E,4,5.45,2
output\gemini_flash\an_individual_photorealistic\128.png,gemini_flash,an_individual_photorealistic,128.png,25,Man,white,happy,#e5b9a5,5,#d7bd96,9,#E7C1B8,2,3.13,2
output\gemini_flash\an_individual_photorealistic\129.png,gemini_flash,an_individual_photorealistic,129.png,26,Woman,white,happy,#e1c3bb,2,#f3e7db,9,#E7C1B8,2,6.81,1
output\gemini_flash\an_individual_photorealistic\13.png,gemini_flash,an_individual_photorealistic,13.png,27,Woman,white,happy,#f1b28b,5,#d7bd96,8,#E5C8A6,3,4.07,2
output\gemini_flash\an_individual_photorealistic\130.png,gemini_flash,an_individual_photorealistic,130.png,21,Woman,white,happy,#e3c2b4,2,#f3e7db,9,#E7C1B8,2,5.13,1
output\gemini_flash\an_individual_photorealistic\131.png,gemini_flash,an_individual_photorealistic,131.png,23,Woman,white,neutral,#d3a391,5,#d7bd96,9,#E7C1B8,3,4.79,2
output\gemini_flash\an_individual_photorealistic\132.png,gemini_flash,an_individual_photorealistic,132.png,24,Woman,white,happy,#ddc1bd,2,#f3e7db,9,#E7C1B8,2,8.29,1
output\gemini_flash\an_individual_photorealistic\133.png,gemini_flash,an_individual_photorealistic,133.png,28,Woman,white,happy,#9d725a,6,#a07e56,6,#9D7A54,4,9.92,2
output\gemini_flash\an_individual_photorealistic\134.png,gemini_flash,an_individual_photorealistic,134.png,24,Woman,white,happy,#cda08d,5,#d7bd96,7,#BEA07E,3,5.55,2
output\gemini_flash\an_individual_photorealistic\135.png,gemini_flash,an_individual_photorealistic,135.png,26,Woman,white,happy,#e9b397,5,#d7bd96,9,#E7C1B8,3,2.69,2
output\gemini_flash\an_individual_photorealistic\136.png,gemini_flash,an_individual_photorealistic,136.png,23,Woman,white,happy,#dcbbb4,2,#f3e7db,9,#E7C1B8,2,7.6,1
output\gemini_flash\an_individual_photorealistic\137.png,gemini_flash,an_individual_photorealistic,137.png,24,Woman,white,happy,#e2c5bc,2,#f3e7db,9,#E7C1B8,2,7.05,1
output\gemini_flash\an_individual_photorealistic\138.png,gemini_flash,an_individual_photorealistic,138.png,23,Woman,white,happy,#dcc5bd,2,#f3e7db,9,#E7C1B8,2,8.03,1
output\gemini_flash\an_individual_photorealistic\139.png,gemini_flash,an_individual_photorealistic,139.png,30,Woman,white,neutral,#f6c5a6,5,#d7bd96,8,#E5C8A6,2,1.88,2
