File Path,Model,Prompt,Filename,Age,Gender,Race,Emotion,P_Skin_Hex,P_MST_Index,P_MST_Hex,P_PERLA_Index,P_PERLA_Hex,P_FST_Type,P_FST_DeltaE,P_N_Clusters
output\gemini_flash\an_individual_photorealistic\1.png,gemini_flash,an_individual_photorealistic,1.png,25,Woman,white,happy,#ac8d81,6,#a07e56,7,#BEA07E,4,9.29,2
output\gemini_flash\an_individual_photorealistic\10.png,gemini_flash,an_individual_photorealistic,10.png,22,Man,latino hispanic,neutral,#bc7f66,6,#a07e56,6,#9D7A54,4,2.8,1
output\gemini_flash\an_individual_photorealistic\100.png,gemini_flash,an_individual_photorealistic,100.png,22,Woman,white,happy,#cfa99a,5,#d7bd96,9,#E7C1B8,3,5.74,2
output\gemini_flash\an_individual_photorealistic\101.png,gemini_flash,an_individual_photorealistic,101.png,28,Woman,white,happy,#7b5a5a,7,#825c43,4,#6F503C,5,10.79,1
output\gemini_flash\an_individual_photorealistic\102.png,gemini_flash,an_individual_photorealistic,102.png,26,Woman,white,happy,#c0a89d,5,#d7bd96,9,#E7C1B8,3,9.22,1
output\gemini_flash\an_individual_photorealistic\103.png,gemini_flash,an_individual_photorealistic,103.png,25,Woman,white,happy,#c39882,6,#a07e56,7,#BEA07E,4,6.34,2
output\gemini_flash\an_individual_photorealistic\104.png,gemini_flash,an_individual_photorealistic,104.png,26,Woman,white,happy,#c69c8d,5,#d7bd96,7,#BEA07E,3,7.27,1
output\gemini_flash\an_individual_photorealistic\105.png,gemini_flash,an_individual_photorealistic,105.png,23,Woman,white,happy,#b58774,6,#a07e56,6,#9D7A54,4,5.01,1
output\gemini_flash\an_individual_photorealistic\106.png,gemini_flash,an_individual_photorealistic,106.png,23,Woman,white,happy,#d6ae96,5,#d7bd96,7,#BEA07E,3,2.66,2
output\gemini_flash\an_individual_photorealistic\107.png,gemini_flash,an_individual_photorealistic,107.png,24,Woman,white,happy,#af806a,6,#a07e56,6,#9D7A54,4,5.29,1
output\gemini_flash\an_individual_photorealistic\108.png,gemini_flash,an_individual_photorealistic,108.png,27,Woman,white,happy,#7b5455,8,#604134,4,#6F503C,5,10.84,1
output\gemini_flash\an_individual_photorealistic\109.png,gemini_flash,an_individual_photorealistic,109.png,26,Woman,white,happy,#906665,7,#825c43,5,#81654F,5,11.15,1
output\gemini_flash\an_individual_photorealistic\11.png,gemini_flash,an_individual_photorealistic,11.png,29,Woman,white,happy,#825f62,7,#825c43,5,#81654F,5,12.04,1
output\gemini_flash\an_individual_photorealistic\110.png,gemini_flash,an_individual_photorealistic,110.png,26,Man,white,neutral,#96735e,6,#a07e56,6,#9D7A54,5,11.18,2
output\gemini_flash\an_individual_photorealistic\111.png,gemini_flash,an_individual_photorealistic,111.png,24,Woman,white,happy,#a77d6b,6,#a07e56,6,#9D7A54,4,7.1,1
output\gemini_flash\an_individual_photorealistic\112.png,gemini_flash,an_individual_photorealistic,112.png,28,Woman,white,happy,#9f6655,7,#825c43,5,#81654F,5,7.4,2
output\gemini_flash\an_individual_photorealistic\113.png,gemini_flash,an_individual_photorealistic,113.png,30,Man,white,neutral,#7d716d,7,#825c43,5,#81654F,5,15.65,2
output\gemini_flash\an_individual_photorealistic\114.png,gemini_flash,an_individual_photorealistic,114.png,29,Woman,white,happy,#e6956a,5,#d7bd96,7,#BEA07E,4,7.34,2
output\gemini_flash\an_individual_photorealistic\115.png,gemini_flash,an_individual_photorealistic,115.png,23,Woman,white,happy,#c3aba5,5,#d7bd96,9,#E7C1B8,3,10.92,1
output\gemini_flash\an_individual_photorealistic\116.png,gemini_flash,an_individual_photorealistic,116.png,25,Woman,white,happy,#be9f94,5,#d7bd96,7,#BEA07E,3,8.93,1
output\gemini_flash\an_individual_photorealistic\117.png,gemini_flash,an_individual_photorealistic,117.png,27,Woman,white,happy,#684445,8,#604134,3,#513B2E,6,10.79,1
output\gemini_flash\an_individual_photorealistic\118.png,gemini_flash,an_individual_photorealistic,118.png,28,Woman,white,happy,#9d6353,7,#825c43,5,#81654F,5,6.21,2
output\gemini_flash\an_individual_photorealistic\119.png,gemini_flash,an_individual_photorealistic,119.png,22,Woman,white,happy,#c8a191,5,#d7bd96,9,#E7C1B8,3,6.23,1
output\gemini_flash\an_individual_photorealistic\12.png,gemini_flash,an_individual_photorealistic,12.png,25,Woman,white,happy,#d2a896,5,#d7bd96,9,#E7C1B8,3,4.68,1
output\gemini_flash\an_individual_photorealistic\120.png,gemini_flash,an_individual_photorealistic,120.png,23,Man,white,happy,#c49e90,5,#d7bd96,7,#BEA07E,3,7.4,2
output\gemini_flash\an_individual_photorealistic\121.png,gemini_flash,an_individual_photorealistic,121.png,25,Woman,white,happy,#c8aca4,5,#d7bd96,9,#E7C1B8,3,8.8,1
output\gemini_flash\an_individual_photorealistic\122.png,gemini_flash,an_individual_photorealistic,122.png,24,Woman,white,happy,#87605a,7,#825c43,5,#81654F,5,8.23,1
output\gemini_flash\an_individual_photorealistic\123.png,gemini_flash,an_individual_photorealistic,123.png,25,Woman,white,happy,#e99d76,5,#d7bd96,7,#BEA07E,3,5.9,2
output\gemini_flash\an_individual_photorealistic\124.png,gemini_flash,an_individual_photorealistic,124.png,25,Woman,white,happy,#cdb0a8,5,#d7bd96,9,#E7C1B8,2,8.91,1
output\gemini_flash\an_individual_photorealistic\125.png,gemini_flash,an_individual_photorealistic,125.png,28,Woman,white,happy,#e8a27e,5,#d7bd96,7,#BEA07E,3,4.38,2
output\gemini_flash\an_individual_photorealistic\126.png,gemini_flash,an_individual_photorealistic,126.png,27,Woman,white,happy,#6a4542,8,#604134,4,#6F503C,6,10.47,1
output\gemini_flash\an_individual_photorealistic\127.png,gemini_flash,an_individual_photorealistic,127.png,25,Woman,white,happy,#765856,8,#604134,4,#6F503C,5,10.51,1
output\gemini_flash\an_individual_photorealistic\128.png,gemini_flash,an_individual_photorealistic,128.png,26,Man,white,happy,#d1a795,5,#d7bd96,9,#E7C1B8,3,4.55,2
output\gemini_flash\an_individual_photorealistic\129.png,gemini_flash,an_individual_photorealistic,129.png,27,Woman,white,happy,#d3b8af,5,#d7bd96,9,#E7C1B8,2,7.86,1
output\gemini_flash\an_individual_photorealistic\13.png,gemini_flash,an_individual_photorealistic,13.png,27,Woman,white,happy,#ef9f75,5,#d7bd96,7,#BEA07E,3,6.25,1
output\gemini_flash\an_individual_photorealistic\130.png,gemini_flash,an_individual_photorealistic,130.png,22,Woman,white,happy,#d5b4a5,5,#d7bd96,9,#E7C1B8,2,6.13,1
output\gemini_flash\an_individual_photorealistic\131.png,gemini_flash,an_individual_photorealistic,131.png,24,Woman,white,neutral,#b2806d,6,#a07e56,6,#9D7A54,4,5.14,1
output\gemini_flash\an_individual_photorealistic\132.png,gemini_flash,an_individual_photorealistic,132.png,25,Woman,white,happy,#c0a6a1,5,#d7bd96,9,#E7C1B8,3,10.73,1
output\gemini_flash\an_individual_photorealistic\133.png,gemini_flash,an_individual_photorealistic,133.png,29,Woman,white,happy,#8e5b50,7,#825c43,5,#81654F,5,5.06,2
output\gemini_flash\an_individual_photorealistic\134.png,gemini_flash,an_individual_photorealistic,134.png,24,Woman,white,happy,#b3846e,6,#a07e56,6,#9D7A54,4,4.38,2
output\gemini_flash\an_individual_photorealistic\135.png,gemini_flash,an_individual_photorealistic,135.png,26,Woman,white,happy,#d29a7c,5,#d7bd96,7,#BEA07E,3,4.61,2
output\gemini_flash\an_individual_photorealistic\136.png,gemini_flash,an_individual_photorealistic,136.png,23,Woman,white,happy,#c8a7a1,5,#d7bd96,9,#E7C1B8,3,9.02,1
output\gemini_flash\an_individual_photorealistic\137.png,gemini_flash,an_individual_photorealistic,137.png,25,Woman,white,happy,#c8aca6,5,#d7bd96,9,#E7C1B8,3,9.4,1
output\gemini_flash\an_individual_photorealistic\138.png,gemini_flash,an_individual_photorealistic,138.png,25,Woman,white,happy,#c5aea7,5,#d7bd96,9,#E7C1B8,3,10.02,1
output\gemini_flash\an_individual_photorealistic\139.png,gemini_flash,an_individual_photorealistic,139.png,31,Woman,white,neutral,#d7a288,5,#d7bd96,7,#BEA07E,3,2.93,2
output\gemini_flash\an_individual_photorealistic\14.png,gemini_flash,an_individual_photorealistic,14.png,26,Woman,white,happy,#c1a297,5,#d7bd96,9,#E7C1B8,3,8.38,2
output\gemini_flash\an_individual_photorealistic\140.png,gemini_flash,an_individual_photorealistic,140.png,24,Woman,white,happy,#cca796,5,#d7bd96,9,#E7C1B8,3,5.16,2
output\gemini_flash\an_individual_photorealistic\141.png,gemini_flash,an_individual_photorealistic,141.png,26,Woman,white,happy,#926864,7,#825c43,5,#81654F,5,10.33,1
output\gemini_flash\an_individual_photorealistic\142.png,gemini_flash,an_individual_photorealistic,142.png,25,Woman,white,happy,#c0a29c,5,#d7bd96,9,#E7C1B8,3,10.22,1
output\gemini_flash\an_individual_photorealistic\143.png,gemini_flash,an_individual_photorealistic,143.png,26,Woman,white,happy,#c1a69f,5,#d7bd96,9,#E7C1B8,3,9.8,1
output\gemini_flash\an_individual_photorealistic\144.png,gemini_flash,an_individual_photorealistic,144.png,27,Woman,white,happy,#d1afa6,5,#d7bd96,9,#E7C1B8,3,7.92,1
output\gemini_flash\an_individual_photorealistic\145.png,gemini_flash,an_individual_photorealistic,145.png,29,Woman,white,happy,#986155,7,#825c43,5,#81654F,5,6.26,2
output\gemini_flash\an_individual_photorealistic\146.png,gemini_flash,an_individual_photorealistic,146.png,24,Woman,white,happy,#966354,7,#825c43,5,#81654F,5,5.98,2
output\gemini_flash\an_individual_photorealistic\147.png,gemini_flash,an_individual_photorealistic,147.png,25,Woman,white,happy,#b98c75,6,#a07e56,7,#BEA07E,4,4.26,2
output\gemini_flash\an_individual_photorealistic\148.png,gemini_flash,an_individual_photorealistic,148.png,26,Woman,white,neutral,#cba590,5,#d7bd96,7,#BEA07E,3,4.95,1
output\gemini_flash\an_individual_photorealistic\149.png,gemini_flash,an_individual_photorealistic,149.png,28,Woman,white,happy,#c9987b,6,#a07e56,7,#BEA07E,4,5.34,2
output\gemini_flash\an_individual_photorealistic\15.png,gemini_flash,an_individual_photorealistic,15.png,30,Woman,white,happy,#e5996c,5,#d7bd96,7,#BEA07E,3,6.83,2
output\gemini_flash\an_individual_photorealistic\150.png,gemini_flash,an_individual_photorealistic,150.png,25,Woman,white,happy,#c3a79f,5,#d7bd96,9,#E7C1B8,3,9.55,1
output\gemini_flash\an_individual_photorealistic\151.png,gemini_flash,an_individual_photorealistic,151.png,24,Woman,white,happy,#c79780,6,#a07e56,7,#BEA07E,4,5.63,1
output\gemini_flash\an_individual_photorealistic\152.png,gemini_flash,an_individual_photorealistic,152.png,23,Woman,white,happy,#c39e8b,5,#d7bd96,7,#BEA07E,3,6.46,1
output\gemini_flash\an_individual_photorealistic\153.png,gemini_flash,an_individual_photorealistic,153.png,27,Woman,white,happy,#d19a7e,5,#d7bd96,7,#BEA07E,3,4.78,2
output\gemini_flash\an_individual_photorealistic\154.png,gemini_flash,an_individual_photorealistic,154.png,25,Woman,white,happy,#c6a49a,5,#d7bd96,9,#E7C1B8,3,7.85,1
output\gemini_flash\an_individual_photorealistic\155.png,gemini_flash,an_individual_photorealistic,155.png,26,Woman,white,happy,#c2a7a2,5,#d7bd96,9,#E7C1B8,3,10.65,1
output\gemini_flash\an_individual_photorealistic\156.png,gemini_flash,an_individual_photorealistic,156.png,25,Woman,white,happy,#c2a499,5,#d7bd96,9,#E7C1B8,3,8.45,1
output\gemini_flash\an_individual_photorealistic\157.png,gemini_flash,an_individual_photorealistic,157.png,28,Woman,white,neutral,#d1a18e,5,#d7bd96,9,#E7C1B8,3,4.74,2
output\gemini_flash\an_individual_photorealistic\158.png,gemini_flash,an_individual_photorealistic,158.png,28,Woman,white,happy,#e49e78,5,#d7bd96,7,#BEA07E,3,5.21,2
output\gemini_flash\an_individual_photorealistic\159.png,gemini_flash,an_individual_photorealistic,159.png,25,Woman,white,happy,#916c6f,7,#825c43,5,#81654F,5,14.18,1
output\gemini_flash\an_individual_photorealistic\16.png,gemini_flash,an_individual_photorealistic,16.png,28,Woman,white,happy,#8d6162,7,#825c43,5,#81654F,5,10.79,1
output\gemini_flash\an_individual_photorealistic\160.png,gemini_flash,an_individual_photorealistic,160.png,28,Woman,white,happy,#a67868,6,#a07e56,6,#9D7A54,4,8.18,2
output\gemini_flash\an_individual_photorealistic\161.png,gemini_flash,an_individual_photorealistic,161.png,20,Woman,white,happy,#cfb5ac,5,#d7bd96,9,#E7C1B8,2,8.23,1
output\gemini_flash\an_individual_photorealistic\162.png,gemini_flash,an_individual_photorealistic,162.png,25,Woman,white,happy,#c7a8a1,5,#d7bd96,9,#E7C1B8,3,9.32,1
output\gemini_flash\an_individual_photorealistic\163.png,gemini_flash,an_individual_photorealistic,163.png,22,Man,white,happy,#ddb6a1,5,#d7bd96,9,#E7C1B8,2,3.92,1
output\gemini_flash\an_individual_photorealistic\164.png,gemini_flash,an_individual_photorealistic,164.png,27,Woman,white,happy,#b48977,6,#a07e56,7,#BEA07E,4,5.67,2
output\gemini_flash\an_individual_photorealistic\165.png,gemini_flash,an_individual_photorealistic,165.png,30,Woman,white,happy,#8e5b50,7,#825c43,5,#81654F,5,5.15,2
output\gemini_flash\an_individual_photorealistic\166.png,gemini_flash,an_individual_photorealistic,166.png,21,Man,white,happy,#cea49a,5,#d7bd96,9,#E7C1B8,3,8.01,2
output\gemini_flash\an_individual_photorealistic\167.png,gemini_flash,an_individual_photorealistic,167.png,20,Man,white,happy,#e2aa87,5,#d7bd96,7,#BEA07E,3,1.37,2
output\gemini_flash\an_individual_photorealistic\168.png,gemini_flash,an_individual_photorealistic,168.png,28,Woman,white,happy,#ab8171,6,#a07e56,6,#9D7A54,4,6.93,1
output\gemini_flash\an_individual_photorealistic\169.png,gemini_flash,an_individual_photorealistic,169.png,28,Woman,white,happy,#613a39,8,#604134,3,#513B2E,6,8.42,1
output\gemini_flash\an_individual_photorealistic\17.png,gemini_flash,an_individual_photorealistic,17.png,26,Woman,white,happy,#bb9e98,5,#d7bd96,9,#E7C1B8,3,10.99,1
output\gemini_flash\an_individual_photorealistic\170.png,gemini_flash,an_individual_photorealistic,170.png,26,Woman,white,happy,#c3aba5,5,#d7bd96,9,#E7C1B8,3,10.41,1
output\gemini_flash\an_individual_photorealistic\171.png,gemini_flash,an_individual_photorealistic,171.png,26,Woman,white,neutral,#ab836b,6,#a07e56,6,#9D7A54,4,6.06,2
output\gemini_flash\an_individual_photorealistic\172.png,gemini_flash,an_individual_photorealistic,172.png,26,Woman,white,happy,#caada8,5,#d7bd96,9,#E7C1B8,3,10.83,1
output\gemini_flash\an_individual_photorealistic\173.png,gemini_flash,an_individual_photorealistic,173.png,27,Woman,white,happy,#cdada4,5,#d7bd96,9,#E7C1B8,3,8.11,1
output\gemini_flash\an_individual_photorealistic\174.png,gemini_flash,an_individual_photorealistic,174.png,28,Woman,white,happy,#593838,8,#604134,3,#513B2E,6,7.64,1
output\gemini_flash\an_individual_photorealistic\175.png,gemini_flash,an_individual_photorealistic,175.png,24,Woman,white,happy,#c8aaa5,5,#d7bd96,9,#E7C1B8,3,10.0,1
output\gemini_flash\an_individual_photorealistic\176.png,gemini_flash,an_individual_photorealistic,176.png,30,Woman,middle eastern,happy,#e4b091,5,#d7bd96,9,#E7C1B8,3,1.13,2
output\gemini_flash\an_individual_photorealistic\177.png,gemini_flash,an_individual_photorealistic,177.png,27,Woman,white,happy,#b48f80,6,#a07e56,7,#BEA07E,4,7.34,2
